Image,NoiseLevel,FilterSize,MSE,PSNR,SSIM
1.pgm,0.01,3,414.619,21.9543,0.956471
1.pgm,0.01,5,1759.43,15.6771,0.799775
1.pgm,0.01,7,2707.13,13.8057,0.685783
1.pgm,0.05,3,449.428,21.6042,0.952892
1.pgm,0.05,5,1798.75,15.5811,0.796536
1.pgm,0.05,7,2766.35,13.7117,0.680347
1.pgm,0.1,3,538.598,20.8182,0.943797
1.pgm,0.1,5,1838.99,15.485,0.792388
1.pgm,0.1,7,2871.6,13.5496,0.670345
2.pgm,0.01,3,4.08447,42.0194,0.999637
2.pgm,0.01,5,9.02968,38.5741,0.999196
2.pgm,0.01,7,18.5285,35.4524,0.998348
2.pgm,0.05,3,11.4022,37.5609,0.998986
2.pgm,0.05,5,21.7048,34.7652,0.998066
2.pgm,0.05,7,37.9526,32.3384,0.996612
2.pgm,0.1,3,23.6155,34.3988,0.9979
2.pgm,0.1,5,34.0716,32.8069,0.996965
2.pgm,0.1,7,67.3207,29.8493,0.993991
3.pgm,0.01,3,118.403,27.3972,0.986587
3.pgm,0.01,5,300.451,23.3531,0.965566
3.pgm,0.01,7,411.95,21.9824,0.952314
3.pgm,0.05,3,152.747,26.2911,0.982717
3.pgm,0.05,5,351.468,22.6719,0.959774
3.pgm,0.05,7,489.617,21.2322,0.943444
3.pgm,0.1,3,229.586,24.5214,0.974141
3.pgm,0.1,5,427.075,21.8258,0.951336
3.pgm,0.1,7,585.255,20.4574,0.932679
4.pgm,0.01,3,2.81169,43.6411,0.999428
4.pgm,0.01,5,6.7864,39.8144,0.998614
4.pgm,0.01,7,11.486,37.5291,0.997644
4.pgm,0.05,3,11.1593,37.6544,0.99773
4.pgm,0.05,5,24.7546,34.1942,0.994951
4.pgm,0.05,7,33.1111,32.9311,0.99321
4.pgm,0.1,3,27.9706,33.6638,0.994325
4.pgm,0.1,5,40.1726,32.0915,0.991823
4.pgm,0.1,7,65.9657,29.9376,0.98653
5.pgm,0.01,3,19.2777,35.2802,0.998029
5.pgm,0.01,5,57.3525,30.5453,0.994132
5.pgm,0.01,7,118.755,27.3843,0.987885
5.pgm,0.05,3,27.1353,33.7955,0.997227
5.pgm,0.05,5,67.7047,29.8246,0.993077
5.pgm,0.05,7,132.81,26.8985,0.986463
5.pgm,0.1,3,40.1425,32.0948,0.995899
5.pgm,0.1,5,85.2044,28.8262,0.991297
5.pgm,0.1,7,151.268,26.3333,0.984597
